close_time,commission,current_price,entry_price,exit_price,exit_reason,gross_profit,open_time,pips,profit,requested_price,status,stop_loss,symbol,take_profit,type,volume
2026-06-10 00:05:00,0.29400000000000004,6.77645,6.77781,6.77645,TAKE_PROFIT,0.842750091843843,2026-06-09 23:15:00,13.6,0.55,6.77789,CLOSED,6.77861,USDCNH,6.77645,SELL,0.042
2026-06-10 00:10:00,0.056,1.33752,1.33649,1.33752,TAKE_PROFIT,0.8240000000000691,2026-06-10 00:05:00,10.3,0.77,1.33641,CLOSED,1.33585,GBPUSD,1.33752,BUY,0.008
2026-06-10 00:35:00,0.105,1.15369,1.1540599999999999,1.15369,STOP_LOSS,-0.5549999999996391,2026-06-10 00:30:00,-3.7,-0.66,1.15398,CLOSED,1.15369,EURUSD,1.15456,BUY,0.015
2026-06-10 02:35:00,0.035,1.33692,1.3371199999999999,1.33692,MAX_HOLD,-0.09999999999987796,2026-06-10 00:35:00,0.0,-0.13,1.33704,CLOSED,1.33621,GBPUSD,1.3387,BUY,0.005
2026-06-10 23:10:00,0.315,6.78132,6.7805599999999995,6.78132,STOP_LOSS,-0.5043831187988044,2026-06-10 23:05:00,-7.6,-0.82,6.78064,CLOSED,6.78132,USDCNH,6.77928,SELL,0.045
2026-06-11 00:05:00,0.252,6.78036,6.781969999999999,6.78036,TAKE_PROFIT,0.8546189381548435,2026-06-10 23:15:00,16.1,0.6,6.78205,CLOSED,6.78289,USDCNH,6.78036,SELL,0.036
2026-06-10 23:45:00,0.29400000000000004,160.562,160.53699999999998,160.562,STOP_LOSS,-0.6540548284827999,2026-06-10 23:25:00,-2.5,-0.95,160.545,CLOSED,160.562,USDJPY,160.51,SELL,0.042
2026-06-11 00:00:00,0.217,160.517,160.55499999999998,160.517,TAKE_PROFIT,0.7337049609164819,2026-06-10 23:50:00,3.8,0.52,160.563,CLOSED,160.586,USDJPY,160.517,SELL,0.031
2026-06-11 01:00:00,0.098,1.15319,1.15359,1.15319,STOP_LOSS,-0.5599999999999383,2026-06-11 00:05:00,-4.0,-0.66,1.15351,CLOSED,1.15319,EURUSD,1.15416,BUY,0.014
2026-06-12 02:00:00,0.056,1.15864,1.1576799999999998,1.15864,TAKE_PROFIT,0.7680000000000575,2026-06-12 00:05:00,9.6,0.71,1.1576,CLOSED,1.15708,EURUSD,1.15864,BUY,0.008
2026-06-12 23:40:00,0.413,6.76418,6.76359,6.76418,STOP_LOSS,-0.5146675064572548,2026-06-12 23:05:00,-5.9,-0.93,6.76367,CLOSED,6.76418,USDCNH,6.76265,SELL,0.059
2026-06-15 00:00:00,0.336,6.76214,6.763299999999999,6.76214,TAKE_PROFIT,0.8232667484804916,2026-06-12 23:45:00,11.6,0.49,6.76338,CLOSED,6.764,USDCNH,6.76214,SELL,0.048
2026-06-15 00:00:00,0.24500000000000002,160.185,160.21699999999998,160.185,TAKE_PROFIT,0.699051910845528,2026-06-12 23:35:00,3.2,0.45,160.225,CLOSED,160.245,USDJPY,160.185,SELL,0.035
2026-06-15 23:55:00,0.448,6.75902,6.75988,6.75902,TAKE_PROFIT,0.8142156369642585,2026-06-15 23:05:00,8.6,0.37,6.75996,CLOSED,6.76043,USDCNH,6.75902,SELL,0.064
2026-06-16 00:00:00,0.11900000000000001,160.279,160.355,160.279,TAKE_PROFIT,0.805712325777112,2026-06-15 23:10:00,7.6,0.69,160.363,CLOSED,160.405,USDJPY,160.279,SELL,0.017
2026-06-16 02:55:00,0.056,1.15913,1.15905,1.15913,MAX_HOLD,0.064000000000064,2026-06-16 00:55:00,0.0,0.01,1.15897,CLOSED,1.15845,EURUSD,1.16001,BUY,0.008
2026-06-16 23:55:00,0.49699999999999994,6.75663,6.75742,6.75663,TAKE_PROFIT,0.8300505222401087,2026-06-16 23:05:00,7.9,0.33,6.7575,CLOSED,6.75793,USDCNH,6.75663,SELL,0.071
2026-06-17 00:00:00,0.252,160.422,160.45499999999998,160.422,TAKE_PROFIT,0.7403945031314283,2026-06-16 23:15:00,3.3,0.49,160.463,CLOSED,160.483,USDJPY,160.422,SELL,0.036
2026-06-17 00:45:00,0.112,160.449,160.36700000000002,160.449,TAKE_PROFIT,0.8181234293837872,2026-06-17 00:05:00,8.2,0.71,160.359,CLOSED,160.314,USDJPY,160.449,BUY,0.016
2026-06-17 23:45:00,0.077,6.776295675820712,6.778379999999999,6.776295675820712,STOP_LOSS,0.33824550957848576,2026-06-17 23:05:00,20.84,0.26,6.77846,CLOSED,6.776295675820712,USDCNH,6.77288,SELL,0.011
