close_time,commission,current_price,entry_price,exit_price,exit_reason,gross_profit,open_time,pips,profit,requested_price,status,stop_loss,symbol,take_profit,type,volume
2026-06-10 00:05:00,0.21,6.77645,6.77787,6.77645,TAKE_PROFIT,0.6352207541235315,2026-06-09 23:15:00,14.2,0.43,6.77789,CLOSED,6.77861,USDCNH,6.77645,SELL,0.03
2026-06-10 00:10:00,0.07,1.33752,1.33644,1.33752,TAKE_PROFIT,1.0799999999999699,2026-06-10 00:05:00,10.8,1.01,1.33641,CLOSED,1.33585,GBPUSD,1.33752,BUY,0.01
2026-06-10 00:35:00,0.07,1.15369,1.15402,1.15369,STOP_LOSS,-0.32999999999994145,2026-06-10 00:30:00,-3.3,-0.4,1.15398,CLOSED,1.15369,EURUSD,1.15456,BUY,0.01
2026-06-10 01:35:00,0.07,1.15382,1.15374,1.15382,STOP_LOSS,0.08000000000008001,2026-06-10 00:40:00,0.8,0.01,1.1537,CLOSED,1.15382,EURUSD,1.15432,BUY,0.01
2026-06-10 23:10:00,0.21,6.78132,6.78062,6.78132,STOP_LOSS,-0.3131369914693185,2026-06-10 23:05:00,-7.0,-0.52,6.78064,CLOSED,6.78132,USDCNH,6.77928,SELL,0.03
2026-06-11 00:05:00,0.21,6.78036,6.78203,6.78036,TAKE_PROFIT,0.7470553939337186,2026-06-10 23:15:00,16.7,0.54,6.78205,CLOSED,6.78289,USDCNH,6.78036,SELL,0.03
2026-06-10 23:35:00,0.21,160.531,160.543,160.531,STOP_LOSS,0.23144130070011867,2026-06-10 23:25:00,1.2,0.02,160.545,CLOSED,160.531,USDJPY,160.51,SELL,0.03
2026-06-10 23:45:00,0.21,160.556,160.533,160.556,STOP_LOSS,-0.44359582634235095,2026-06-10 23:40:00,-2.3,-0.65,160.535,CLOSED,160.556,USDJPY,160.493,SELL,0.03
2026-06-11 00:00:00,0.14,160.517,160.561,160.517,TAKE_PROFIT,0.565745401711523,2026-06-10 23:50:00,4.4,0.43,160.563,CLOSED,160.586,USDJPY,160.517,SELL,0.02
2026-06-12 02:00:00,0.07,1.15864,1.15764,1.15864,TAKE_PROFIT,0.9999999999998899,2026-06-12 00:05:00,10.0,0.93,1.1576,CLOSED,1.15817,EURUSD,1.15864,BUY,0.01
2026-06-12 23:40:00,0.28,6.76418,6.76365,6.76418,STOP_LOSS,-0.3161192485305527,2026-06-12 23:05:00,-5.3,-0.6,6.76367,CLOSED,6.76418,USDCNH,6.76265,SELL,0.04
2026-06-15 00:00:00,0.28,6.76214,6.76336,6.76214,TAKE_PROFIT,0.7276707230333126,2026-06-12 23:45:00,12.2,0.45,6.76338,CLOSED,6.764,USDCNH,6.76214,SELL,0.04
2026-06-12 23:55:00,0.21,160.211,160.223,160.211,STOP_LOSS,0.23144130070011867,2026-06-12 23:35:00,1.2,0.02,160.225,CLOSED,160.211,USDJPY,160.185,SELL,0.03
2026-06-15 23:50:00,0.28,6.75946,6.75994,6.75946,STOP_LOSS,0.28629667791503255,2026-06-15 23:05:00,4.8,0.01,6.75996,CLOSED,6.75946,USDCNH,6.75902,SELL,0.04
2026-06-16 00:00:00,0.07,160.284,160.371,160.284,TAKE_PROFIT,0.5593164766920448,2026-06-15 23:05:00,8.7,0.49,160.373,CLOSED,160.417,USDJPY,160.284,SELL,0.01
2026-06-17 00:00:00,0.28,6.75663,6.75748,6.75663,TAKE_PROFIT,0.5069837004739077,2026-06-16 23:05:00,8.5,0.23,6.7575,CLOSED,6.757,USDCNH,6.75663,SELL,0.04
2026-06-16 23:35:00,0.21,160.483,160.463,160.483,STOP_LOSS,-0.3857355011670472,2026-06-16 23:30:00,-2.0,-0.6,160.465,CLOSED,160.483,USDJPY,160.43,SELL,0.03
2026-06-17 00:00:00,0.21,160.44,160.474,160.44,TAKE_PROFIT,0.6557503519834869,2026-06-16 23:40:00,3.4,0.45,160.476,CLOSED,160.462,USDJPY,160.44,SELL,0.03
